Charleston shooting victim Sharonda Coleman-Singleton was mother, teacher, coach, minister - Post and Courier 
		On Chris’ senior night during basketball season, Coleman-Singleton carried a single yellow rose in her left hand, her right arm through her son’s. She was smiling.
	

		“She was a wonderful parent, very involved,” said former Goose Creek athletic director Chuck Reedy. “She was one of those people a lot of people looked up to and tried to emulate.”
	

		Her son Chris posted this Thursday on Instagram:
	

		“You were a better mother than I could have ever asked for. This has truly broken my heart in every way possible.”
	


Jeff Hartsell










Keywords














Get more news delivered to your inbox:


Register
  
Manage Newsletters


































 Enlarge
 Sharonda Coleman-Singleton (seated, at right), with son Chris as he signs to play baseball at Charleston Southern University. Former Goose Creek Athletic Director Chuck Reedy (left) and Principal Jimmy Huskey stand behind the pair. 
Rob Gantt/Goose Creek Gazette









Sharonda Coleman-Singleton (seated, at right), with son Chris as he signs to play baseball at Charleston Southern University. Former Goose Creek Athletic Director Chuck Reedy (left) and Principal Jimmy Huskey stand behind the pair.


×




























Most Popular






As Erika dissipates, Tropical Storm Fred forms in Atlantic




What to expect after sale of longtime Charleston retailer Belk




Test the bike lane, then let the facts dictate the rest




Activist calls for removal of Dorchester 2 board chair; Hughes says she’s staying




Old days never ended for pro wrestling's Professor Elliot












Events Calendar


























































© 2015, The Post and Courier, an Evening Post Industries company.
 All Rights Reserved.


Registration on or use of this site constitutes acceptance of 
Terms of Use
, 
Parental Consent Form
, and 
Privacy Policy
.










About




About


Staff


Mobile apps








Services




Newsletters


Become a member


Place an ad


Advertising rates


Advertising account








Site Links








Editorial


Classifieds


RSS Feeds












Related Properties








Aiken Standard - Aiken, SC


South Strand News - Georgetown, Pawleys Island, & Murrells Inlet, SC


The Gazette - Goose Creek, SC


The News - Kingstree, SC










The Berkeley Independent - Moncks Corner, SC


Moultrie News - Mount Pleasant, SC


The Star - North Augusta, SC


Journal Scene - Summerville, SC


Evening Post Books - Charleston, SC


















































Sections




News


Sports


Business


Politics


Food


Entertainment


Features


Opinion


Obituaries






Other Sites


Lowcountry Parent


My Charleston


North Charleston Magazine


Real Estate


Tideline Magazine


Your Faith


CharlestonSCBrides.com


Special Sections






Classifieds


Classifieds


Marketplace


Jobs


Autos


Real Estate


Pets






Advertising


Place an Ad


Advertising Rates


Sponsored Content














Login with Press+






Member Rewards


Become a member




Your rewards






Customer Care


Subscribe


Manage your subscription


Access E-edition


Archives


Order magazines


Email Newsletters


Manage Newsletters


Contact Us


Mobile Apps











































